timestamp,price_day_ahead,actual_load,temperature_2m,wind_speed_10m,apparent_temperature,is_day
2024-04-01 00:00:00+02:00,49.95,37815.0,10.3,10.6,8.7,0
2024-04-01 01:00:00+02:00,48.98,36199.0,9.9,10.2,8.2,0
2024-04-01 02:00:00+02:00,46.06,35288.0,9.5,7.7,8.1,0
2024-04-01 03:00:00+02:00,43.58,34713.0,9.3,11.9,7.2,0
2024-04-01 04:00:00+02:00,49.4,35006.0,8.7,7.2,7.1,0
2024-04-01 05:00:00+02:00,52.35,36036.0,8.5,9.2,6.6,0
2024-04-01 06:00:00+02:00,58.71,36847.0,8.8,11.3,6.6,0
2024-04-01 07:00:00+02:00,64.49,37174.0,9.4,13.5,7.0,1
2024-04-01 08:00:00+02:00,58.71,39449.0,10.8,17.7,8.1,1
2024-04-01 09:00:00+02:00,60.89,43080.0,12.4,14.9,10.4,1
2024-04-01 10:00:00+02:00,54.36,46488.0,13.1,14.5,11.2,1
2024-04-01 11:00:00+02:00,35.39,48894.0,14.5,13.6,12.9,1
2024-04-01 12:00:00+02:00,13.04,50445.0,17.0,15.0,15.3,1
2024-04-01 13:00:00+02:00,0.03,49601.0,19.0,15.9,17.2,1
2024-04-01 14:00:00+02:00,-0.01,48414.0,19.2,12.6,17.6,1
2024-04-01 15:00:00+02:00,-0.01,47832.0,18.6,14.3,16.8,1
2024-04-01 16:00:00+02:00,-0.01,47583.0,19.4,19.9,16.5,1
2024-04-01 17:00:00+02:00,5.79,47642.0,17.8,27.9,13.5,1
2024-04-01 18:00:00+02:00,41.97,48833.0,15.2,31.3,10.5,1
2024-04-01 19:00:00+02:00,48.53,50673.0,13.2,24.3,9.3,1
2024-04-01 20:00:00+02:00,49.88,51164.0,11.9,22.9,8.1,0
2024-04-01 21:00:00+02:00,45.69,49792.0,11.8,26.6,7.4,0
2024-04-01 22:00:00+02:00,25.97,48278.0,10.7,29.3,5.9,0
2024-04-01 23:00:00+02:00,7.47,46088.0,10.4,28.7,5.4,0
2024-04-02 00:00:00+02:00,7.97,42854.0,10.1,27.1,5.3,0
